timestamp,true_z,est_z,z_error,covariance_scale_factor,noise_gate_active
1.297500,0.000000,-0.012354,0.012354,0.888889,0
1.300000,0.000000,-0.026910,0.026910,0.984127,0
1.302500,0.000000,-0.011117,0.011117,0.984127,0
1.305000,0.000000,-0.021196,0.021196,0.984127,0
1.307500,0.000000,-0.013138,0.013138,0.984127,0
1.310000,0.000000,-0.015299,0.015299,0.984127,0
1.312500,0.000000,-0.015931,0.015931,0.984127,0
1.315000,0.000000,-0.017719,0.017719,0.984127,0
1.317500,0.000000,-0.014795,0.014795,0.984127,0
1.320000,0.000000,-0.010433,0.010433,1.079365,0
1.322500,0.000000,-0.000968,0.000968,1.079365,0
1.325000,0.000000,0.011302,-0.011302,1.079365,0
1.327500,0.000000,0.013883,-0.013883,1.079365,0
1.330000,0.000000,0.028471,-0.028471,1.079365,0
1.332500,0.000000,0.028496,-0.028496,1.079365,0
1.335000,0.000000,0.037158,-0.037158,1.079365,0
1.337500,0.000000,0.039894,-0.039894,1.079365,0
1.340000,0.000000,0.033251,-0.033251,0.952381,0
1.342500,0.000000,0.033999,-0.033999,0.952381,0
1.345000,0.000000,0.037879,-0.037879,0.952381,0
1.347500,0.000000,0.036390,-0.036390,0.952381,0
1.350000,0.000000,0.039304,-0.039304,0.952381,0
1.352500,0.000000,0.046546,-0.046546,0.952381,0
1.355000,0.000000,0.044881,-0.044881,0.952381,0
1.357500,0.000000,0.014788,-0.014788,0.952381,0
1.360000,0.000000,0.030232,-0.030232,0.984127,0
1.362500,0.000000,0.026510,-0.026510,0.984127,0
1.365000,0.000000,0.017924,-0.017924,0.984127,0
1.367500,0.000000,0.006748,-0.006748,0.984127,0
1.370000,0.000000,0.003362,-0.003362,0.984127,0
1.372500,0.000000,-0.002065,0.002065,0.984127,0
1.375000,0.000000,-0.008978,0.008978,0.984127,0
1.377500,0.000000,-0.015164,0.015164,0.984127,0
1.380000,0.000000,-0.009188,0.009188,0.888889,0
1.382500,0.000000,0.012058,-0.012058,0.888889,0
1.385000,0.000000,0.020110,-0.020110,0.888889,0
1.387500,0.000000,0.030982,-0.030982,0.888889,0
1.390000,0.000000,0.026112,-0.026112,0.888889,0
1.392500,0.000000,0.026338,-0.026338,0.888889,0
1.395000,0.000000,0.029839,-0.029839,0.888889,0
1.397500,0.000000,0.022163,-0.022163,0.888889,0
1.400000,0.000000,0.016789,-0.016789,0.825397,0
1.402500,0.000000,0.025443,-0.025443,0.825397,0
1.405000,0.000000,0.036309,-0.036309,0.825397,0
1.407500,0.000000,0.035801,-0.035801,0.825397,0
1.410000,0.000000,0.021810,-0.021810,0.825397,0
1.412500,0.000000,0.017923,-0.017923,0.825397,0
1.415000,0.000000,0.001993,-0.001993,0.825397,0
1.417500,0.000000,0.002724,-0.002724,0.825397,0
1.420000,0.000000,0.005252,-0.005252,0.857143,0
1.422500,0.000000,0.002312,-0.002312,0.857143,0
1.425000,0.000000,0.004708,-0.004708,0.857143,0
1.427500,0.000000,0.008813,-0.008813,0.857143,0
1.430000,0.000000,0.011149,-0.011149,0.857143,0
1.432500,0.000000,-0.001456,0.001456,0.857143,0
1.435000,0.000000,-0.003989,0.003989,0.857143,0
1.437500,0.000000,0.000310,-0.000310,0.857143,0
1.440000,0.000000,0.015385,-0.015385,0.920635,0
1.442500,0.000000,0.012318,-0.012318,0.920635,0
1.445000,0.000000,0.017220,-0.017220,0.920635,0
1.447500,0.000000,0.025117,-0.025117,0.920635,0
1.450000,0.000000,0.022468,-0.022468,0.920635,0
1.452500,0.000000,0.032816,-0.032816,0.920635,0
1.455000,0.000000,0.043376,-0.043376,0.920635,0
1.457500,0.000000,0.055337,-0.055337,0.920635,0
1.460000,0.000000,0.058242,-0.058242,0.857143,0
1.462500,0.000000,0.080513,-0.080513,0.857143,0
1.465000,0.000000,0.071619,-0.071619,0.857143,0
1.467500,0.000000,0.091000,-0.091000,0.857143,0
1.470000,0.000000,0.095903,-0.095903,0.857143,0
1.472500,0.000000,0.106476,-0.106476,0.857143,0
1.475000,0.000000,0.099787,-0.099787,0.857143,0
